ID,DATE,PRICE
0,1950-01,34.73
1,1950-02,34.73
2,1950-03,34.73
3,1950-04,34.73
4,1950-05,34.73
5,1950-06,34.73
6,1950-07,34.73
7,1950-08,34.73
8,1950-09,34.73
9,1950-10,34.73
10,1950-11,34.73
11,1950-12,34.72
12,1951-01,34.72
13,1951-02,34.73
14,1951-03,34.73
15,1951-04,34.73
16,1951-05,34.73
17,1951-06,34.73
18,1951-07,34.72
19,1951-08,34.71
20,1951-09,34.71
21,1951-10,34.71
22,1951-11,34.73
23,1951-12,34.66
24,1952-01,34.49
25,1952-02,34.49
26,1952-03,34.68
27,1952-04,34.82
28,1952-05,34.73
29,1952-06,34.53
30,1952-07,34.57
31,1952-08,34.58
32,1952-09,34.51
33,1952-10,34.63
34,1952-11,34.72
35,1952-12,34.79
36,1953-01,34.88
37,1953-02,34.95
38,1953-03,34.92
39,1953-04,34.93
40,1953-05,34.9
41,1953-06,34.89
42,1953-07,34.91
43,1953-08,34.91
44,1953-09,34.76
45,1953-10,34.79
46,1953-11,34.86
47,1953-12,34.85
48,1954-01,34.86
49,1954-02,34.88
50,1954-03,34.92
51,1954-04,35.04
52,1954-05,35.08
53,1954-06,35.07
54,1954-07,35.08
55,1954-08,35.05
56,1954-09,35.08
57,1954-10,35.08
58,1954-11,35.06
59,1954-12,35.04
60,1955-01,35.04
61,1955-02,35.05
62,1955-03,35.06
63,1955-04,35.05
64,1955-05,35.05
65,1955-06,35.04
66,1955-07,35.05
67,1955-08,35.03
68,1955-09,34.98
69,1955-10,34.98
70,1955-11,34.98
71,1955-12,34.97
72,1956-01,34.99
73,1956-02,34.99
74,1956-03,34.99
75,1956-04,34.98
76,1956-05,34.99
77,1956-06,34.98
78,1956-07,35.0
79,1956-08,35.02
80,1956-09,35.01
81,1956-10,35.02
82,1956-11,34.98
83,1956-12,34.9
84,1957-01,34.88
85,1957-02,34.89
86,1957-03,34.91
87,1957-04,34.92
88,1957-05,34.93
89,1957-06,34.99
90,1957-07,34.99
91,1957-08,34.97
92,1957-09,34.96
93,1957-10,34.97
94,1957-11,34.97
95,1957-12,34.99
96,1958-01,35.01
